Miller Incoming ;(0049) 170 360 1985;narcisa.lopez@miller-incoming.de
Moon River Tours ;(0020) 201 22102503 ;mnrvr@moonrivertours.com
Mundotour- WAPP;(0034) 650 142 964;mrodriguez@mundotour.es
New Generation - EMERGENCIA; (00212) 661244665 ;hatem@ng-travel-event.com
New Generation - Fouad OUSAID;(00212) 661 - 951399;fouad@ng-travel-event.com
Orient Tours ;(0034) 640 240 154 ;reservas@orienttours.net 
Paradores de España- RESERVAS 24 HS;(0034) 91 211 1858 ;juanjose.gonzalez@parador.es
Paris City Visión ;(0033) 1 44 55 60 00 ;booking@pariscityvision.com
Poland Tour ;(0048) 22 623 83 90 ;reservas@polandtour.eu 
Renaissance Hellas - Pilar Camarillo ;(0030) 6948 400972 ;eftichia@renaissancehellas.com
Retevacanze  ;(0039) 393 8044385;info@retevacanze.it
Sato ;(0043) 699 1111 4327;reservas@satotours.eu 
Special Tours ;(0034) 649 44 06 97 ;onboard@specialtours.com
Special Tours ;(0034) 917 58 14 12;guardia@specialtours.com
Splendid- Dubai;(00971) 58 923 0122;incoming3@splendid-travel.net
Splendid- Egipto;(00201) 09 158 7111 ;egipto@splendidtravel.info
Surland- Circ europ;(0034) 690 070 079;guardia@surland.com
Surland- Otros;(0034) 669 093 802 ;24horas@surland.com
Top Team Malta - (0032) 477 459701;;sandra@topteamincentives.com
Tour Partner Group- Emergencia;(0045) 3842 5209;cristina.tomasini@tourpartnergroup.com
Tour Partner Group- ws;(0045) 5210 7283;
Travel Express Egypt- Amal;(0020) 109 992 6260;juliatours@travelexpressegypt.com
Trenes Turisticos de Lujo  ;;trenesturisticosdelujo@renfe.es 
Tui Spain  ;(0034) 91 99 30 612;cotizacioneslatam.ts@tui.com
Universal Eligh- Gad;(00972) 54 9409780;circuitos@universal.co.il 
Universal Assistance ;11 4168-9262;
Vap Incoming  - Ana Perez ;(0033) 6 75 19 56 35;ana.perez@vap-incoming.com
Verde Sicilia - 24/24 Spanish Emergency;(0039) 3346064717;h24emergency@verdesicilia.it
Verde Sicilia - WhatsUpp de Asistencia; 0039 3408 597 637;h24emergency@verdesicilia.it
Wamos Circuitos - Asistencia en viaje;(0034) 91 375 93 33 ;emergencias@mapagrouptravel.com
Wamos Circuitos - wp;(0034) 686 81 17 80;emergencias@mapagrouptravel.com
